value,command,name,timeStamp,asResponse,actuatorType,timeStampMillis,stateData,hasError,statusCode
35.0,1,HumidifierActuator,"2020-12-12 :06:28:24",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:28:37",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:28:40",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:28:43",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:28:46",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:28:49",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:28:54",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:28:59",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:29:04",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:29:09",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:29:14",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:29:19",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:29:24",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:29:29",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:29:34",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:29:39",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:29:44",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:29:49",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:29:54",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:29:59",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:30:04",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:30:09",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:30:14",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:30:19",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:30:24",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:30:29",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:30:34",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:30:39",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:30:44",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:30:49",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:30:54",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:30:59",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:31:04",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:31:09",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:31:14",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:31:25",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:31:28",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:31:31",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:31:34",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:31:45",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:31:48",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:31:51",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:31:54",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:31:59",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:32:04",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:32:09",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:32:14",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:32:19",false,2,0,"Commond on",,0
35.0,0,HumidifierActuator,"2020-12-12 :06:32:24",false,2,0,"Commond off",,0
35.0,0,HumidifierActuator,"2020-12-12 :06:32:30",false,2,0,"Commond off",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:32:34",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:32:47",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:32:50",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:32:53",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:32:56",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:32:59",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:33:04",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:33:09",false,2,0,"Commond on",,0
