value,sensorType,name,timeStamp,hasError,statusCode,timeStampMillis,stateData
33.91797,1,HumiditySensor,"2020-12-12 18:28:24.445413",,0,0,defaultData
25.0,3,TempSensor,"2020-12-12 18:28:24.447041",,0,0,defaultData
526.9087,2,PressureSensor,"2020-12-12 18:28:24.446144",,0,0,defaultData
526.8838,2,PressureSensor,"2020-12-12 18:28:29.448911",,0,0,defaultData
33.621094,1,HumiditySensor,"2020-12-12 18:28:29.448271",,0,0,defaultData
25.0,3,TempSensor,"2020-12-12 18:28:29.449410",,0,0,defaultData
33.5,1,HumiditySensor,"2020-12-12 18:28:34.448576",,0,0,defaultData
526.9634,2,PressureSensor,"2020-12-12 18:28:34.449222",,0,0,defaultData
25.0,3,TempSensor,"2020-12-12 18:28:34.450001",,0,0,defaultData
25.0,3,TempSensor,"2020-12-12 18:28:39.447724",,0,0,defaultData
34.046875,1,HumiditySensor,"2020-12-12 18:28:39.446589",,0,0,defaultData
526.82007,2,PressureSensor,"2020-12-12 18:28:39.447203",,0,0,defaultData
34.15625,1,HumiditySensor,"2020-12-12 18:28:44.447709",,0,0,defaultData
24.96875,3,TempSensor,"2020-12-12 18:28:44.448556",,0,0,defaultData
526.865,2,PressureSensor,"2020-12-12 18:28:44.448083",,0,0,defaultData
526.89575,2,PressureSensor,"2020-12-12 18:28:49.448025",,0,0,defaultData
33.54297,1,HumiditySensor,"2020-12-12 18:28:49.447411",,0,0,defaultData
24.984375,3,TempSensor,"2020-12-12 18:28:49.448449",,0,0,defaultData
526.81396,2,PressureSensor,"2020-12-12 18:28:54.445578",,0,0,defaultData
33.679688,1,HumiditySensor,"2020-12-12 18:28:54.445225",,0,0,defaultData
24.984375,3,TempSensor,"2020-12-12 18:28:54.445848",,0,0,defaultData
33.933594,1,HumiditySensor,"2020-12-12 18:28:59.445482",,0,0,defaultData
25.015625,3,TempSensor,"2020-12-12 18:28:59.446878",,0,0,defaultData
526.8882,2,PressureSensor,"2020-12-12 18:28:59.446284",,0,0,defaultData
917.9214,2,PressureSensor,"2020-12-12 18:29:04.446427",,0,0,defaultData
25.0,3,TempSensor,"2020-12-12 18:29:04.446919",,0,0,defaultData
33.535156,1,HumiditySensor,"2020-12-12 18:29:04.445586",,0,0,defaultData
25.015625,3,TempSensor,"2020-12-12 18:29:09.446565",,0,0,defaultData
917.89795,2,PressureSensor,"2020-12-12 18:29:09.446064",,0,0,defaultData
33.691406,1,HumiditySensor,"2020-12-12 18:29:09.445424",,0,0,defaultData
33.695312,1,HumiditySensor,"2020-12-12 18:29:14.447004",,0,0,defaultData
25.0,3,TempSensor,"2020-12-12 18:29:14.448138",,0,0,defaultData
917.8933,2,PressureSensor,"2020-12-12 18:29:14.447638",,0,0,defaultData
25.015625,3,TempSensor,"2020-12-12 18:29:19.446655",,0,0,defaultData
33.58203,1,HumiditySensor,"2020-12-12 18:29:19.445346",,0,0,defaultData
917.9043,2,PressureSensor,"2020-12-12 18:29:19.446159",,0,0,defaultData
33.335938,1,HumiditySensor,"2020-12-12 18:29:24.446039",,0,0,defaultData
24.953125,3,TempSensor,"2020-12-12 18:29:24.447173",,0,0,defaultData
917.89014,2,PressureSensor,"2020-12-12 18:29:24.446677",,0,0,defaultData
33.828125,1,HumiditySensor,"2020-12-12 18:29:29.445607",,0,0,defaultData
917.90674,2,PressureSensor,"2020-12-12 18:29:29.446041",,0,0,defaultData
24.984375,3,TempSensor,"2020-12-12 18:29:29.446386",,0,0,defaultData
25.03125,3,TempSensor,"2020-12-12 18:29:34.446981",,0,0,defaultData
917.90356,2,PressureSensor,"2020-12-12 18:29:34.446451",,0,0,defaultData
34.058594,1,HumiditySensor,"2020-12-12 18:29:34.445600",,0,0,defaultData
917.8982,2,PressureSensor,"2020-12-12 18:29:39.446431",,0,0,defaultData
25.0,3,TempSensor,"2020-12-12 18:29:39.446931",,0,0,defaultData
33.5,1,HumiditySensor,"2020-12-12 18:29:39.445798",,0,0,defaultData
33.36328,1,HumiditySensor,"2020-12-12 18:29:44.446502",,0,0,defaultData
25.03125,3,TempSensor,"2020-12-12 18:29:44.447624",,0,0,defaultData
917.9021,2,PressureSensor,"2020-12-12 18:29:44.447132",,0,0,defaultData
917.896,2,PressureSensor,"2020-12-12 18:29:49.446645",,0,0,defaultData
25.0,3,TempSensor,"2020-12-12 18:29:49.447075",,0,0,defaultData
33.597656,1,HumiditySensor,"2020-12-12 18:29:49.445841",,0,0,defaultData
33.695312,1,HumiditySensor,"2020-12-12 18:29:54.446498",,0,0,defaultData
917.90894,2,PressureSensor,"2020-12-12 18:29:54.447111",,0,0,defaultData
25.0,3,TempSensor,"2020-12-12 18:29:54.447609",,0,0,defaultData
917.9075,2,PressureSensor,"2020-12-12 18:29:59.448210",,0,0,defaultData
34.04297,1,HumiditySensor,"2020-12-12 18:29:59.447696",,0,0,defaultData
24.953125,3,TempSensor,"2020-12-12 18:29:59.448616",,0,0,defaultData
917.9021,2,PressureSensor,"2020-12-12 18:30:04.448906",,0,0,defaultData
33.5,1,HumiditySensor,"2020-12-12 18:30:04.448093",,0,0,defaultData
24.984375,3,TempSensor,"2020-12-12 18:30:04.449411",,0,0,defaultData
